sample_ID	province	Latitude	Longitude	health zone
kasmika400042	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400043	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400045	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400048	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400055	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400062	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400079	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400080	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400081	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400082	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400083	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400084	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400085	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400086	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400087	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400088	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400089	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400090	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400091	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400092	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400093	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400094	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400095	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400096	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400097	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400098	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400099	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400100	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400101	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400102	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400103	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400104	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400118	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400119	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400120	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400121	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400122	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400123	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400124	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika400130	Kasai Central	-5.8972842	22.4004362	Mikalayi
kinking100002	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100003	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100004	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100005	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100007	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100008	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100009	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100010	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100011	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100013	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100021	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100022	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100023	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100024	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100026	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100028	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100030	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100031	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100032	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100033	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100034	Kinshasa	-4.4103963	15.411396	Kingasani
kinking100035	Kinshasa	-4.4103963	15.411396	Kingasani
